Year,Variable,Month,Value
2020,Net Foreign Assets  ,March,26544.12
2019,Money Supply_Total Liquidity (M2+)  ,March,81837.16
2019,Money Supply_Broad Money (M2)  ,March,63064.58
2019,Money Supply_ Narrow Money  (M1)  ,March,38343.92
2019,Money Supply_Reserve Money (RM)  ,March,23658.2
2019,Total Liabilities of the Bankning System  ,March,81837.16
2019,Money Supply Component_Foreign currency deposits  ,March,18772.59
2019,Money Supply Component_Savings & Time deposits  ,March,24720.65
2019,Money Supply Component_Currency outside banks  ,March,11291.11
2019,Money Supply Component_Demand deposits  ,March,27052.81
2019,Total Assets of the Banking System   ,March,81837.16
2019,Net Domestic Assets_Other Items (net)  ,March,-5957.67
2019,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,March,40977.91
2019,Net Domestic Assets_Govt. Deposits  ,March,22446.09
2019,Net Domestic Assets_Claims on Govt.  ,March,40343.94
2019,Net Domestic Assets  ,March,52918.1
2019,Net Foreign Assets_DMBs  ,March,1735.6
2019,Net Foreign Assets_BOG  ,March,27183.46
2019,Net Foreign Assets  ,March,28919.06
2018,Money Supply_Total Liquidity (M2+)  ,March,67211.73
2018,Money Supply_ Narrow Money  (M1)  ,March,30389.87
2018,Money Supply_Broad Money (M2)  ,March,52877.93
2018,Money Supply_Reserve Money (RM)  ,March,20245.61
2018,Total Liabilities of the Bankning System  ,March,67318.47
2018,Money Supply Component_Foreign currency deposits  ,March,14333.8
2018,Money Supply Component_Savings & Time deposits  ,March,22488.06
2018,Money Supply Component_Demand deposits  ,March,20459.9
2018,Money Supply Component_Currency outside banks  ,March,9929.98
2018,Total Assets of the Banking System   ,March,67318.47
2018,Net Domestic Assets_Other Items (net)  ,March,-4191.45
2018,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,March,44777.55
2018,Net Domestic Assets_Govt. Deposits  ,March,10859.1
2018,Net Domestic Assets_Claims on Govt.  ,March,26740.14
2018,Net Domestic Assets  ,March,50417.95
2018,Net Foreign Assets_DMBs  ,March,2258.05
2018,Net Foreign Assets_BOG  ,March,14642.48
2018,Net Foreign Assets  ,March,16900.52
2017,Money Supply_Total Liquidity (M2+)  ,March,58139.8
2017,Money Supply_ Narrow Money  (M1)  ,March,25706.34
2017,Money Supply_Broad Money (M2)  ,March,44049.21
2017,Money Supply_Reserve Money (RM)  ,March,17519.82
2017,Total Liabilities of the Bankning System  ,March,58139.8
2017,Money Supply Component_Foreign currency deposits  ,March,14090.59
2017,Money Supply Component_Savings & Time deposits  ,March,18342.87
2017,Money Supply Component_Demand deposits  ,March,16444.85
2017,Money Supply Component_Currency outside banks  ,March,9261.5
2017,Total Assets of the Banking System   ,March,58139.8
2017,Net Domestic Assets_Other Items (net)  ,March,-8054.43
2017,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,March,41147.93
2017,Net Domestic Assets_Govt. Deposits  ,March,7646.66
2017,Net Domestic Assets_Claims on Govt.  ,March,23428.03
2017,Net Domestic Assets  ,March,43728.56
2017,Net Foreign Assets_DMBs  ,March,3872.81
2017,Net Foreign Assets_BOG  ,March,10538.43
2017,Net Foreign Assets  ,March,14411.24
2023,Money Supply_Total Liquidity (M2+)  ,April,207528.19
2023,Money Supply_ Narrow Money  (M1)  ,April,97523.05
2023,Money Supply_Broad Money (M2)  ,April,150496.16
2023,Money Supply_Reserve Money (RM)  ,April,69161.5
2023,Total Liabilities of the Bankning System  ,April,207528.19
2023,Money Supply Component_Foreign currency deposits  ,April,57032.04
2023,Money Supply Component_Demand deposits  ,April,66184.51
2023,Money Supply Component_Savings & Time deposits  ,April,52973.1
2023,Money Supply Component_Currency outside banks  ,April,31338.54
2023,Total Assets of the Banking System   ,April,207528.19
2023,Net Domestic Assets_Other Items (net)  ,April,-2615.99
2023,Net Domestic Assets_Govt. Deposits  ,April,25570.52
2023,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,April,74857.62
2023,Net Domestic Assets_Claims on Govt.  ,April,171248.96
2023,Net Foreign Assets_BOG  ,April,-22970.76
2023,Net Foreign Assets_DMBs  ,April,12578.9
2023,Net Domestic Assets  ,April,217920.06
2023,Net Foreign Assets  ,April,-10391.87
2022,Total Assets of the Banking System   ,April,142563.67
2022,Net Domestic Assets_Other Items (net)  ,April,-16866.85
2022,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,April,69489.48
2022,Net Domestic Assets_Govt. Deposits  ,April,16426.49
2022,Net Domestic Assets_Claims on Govt.  ,April,107518.38
2022,Money Supply_Total Liquidity (M2+)  ,April,142563.67
2022,Money Supply_Broad Money (M2)  ,April,105204.84
2022,Money Supply_ Narrow Money  (M1)  ,April,67673.78
2022,Money Supply_Reserve Money (RM)  ,April,47215.05
2022,Total Liabilities of the Bankning System  ,April,142563.67
2022,Money Supply Component_Foreign currency deposits  ,April,37358.83
2022,Money Supply Component_Savings & Time deposits  ,April,37531.06
2022,Money Supply Component_Demand deposits  ,April,44714.31
2022,Money Supply Component_Currency outside banks  ,April,22959.47
2022,Net Domestic Assets  ,April,143714.52
2022,Net Foreign Assets_BOG  ,April,1453.09
2022,Net Foreign Assets_DMBs  ,April,-2603.94
2022,Net Foreign Assets  ,April,-1150.85
2021,Money Supply_Total Liquidity (M2+)  ,April,118933.79
2021,Money Supply_Broad Money (M2)  ,April,91942.98
2021,Money Supply_ Narrow Money  (M1)  ,April,57786.74
2021,Total Liabilities of the Bankning System  ,April,118933.79
2021,Money Supply_Reserve Money (RM)  ,April,35293.96
2021,Money Supply Component_Savings & Time deposits  ,April,34156.24
2021,Money Supply Component_Foreign currency deposits  ,April,26990.81
2021,Money Supply Component_Demand deposits  ,April,38038.38
2021,Money Supply Component_Currency outside banks  ,April,19748.36
2021,Total Assets of the Banking System   ,April,118933.79
2021,Net Domestic Assets_Other Items (net)  ,April,-23223.13
2021,Net Domestic Assets_Claims on Private Sector & Public Net Domestic Assets_Enterprise  ,April,55547.63
2021,Net Domestic Assets_Claims on Govt.  ,April,92061.82
2021,Net Domestic Assets_Govt. Deposits  ,April,33439.83
2021,Net Domestic Assets  ,April,90946.49
2021,Net Foreign Assets_BOG  ,April,26967.14
2021,Net Foreign Assets_DMBs  ,April,1020.17
2021,Net Foreign Assets  ,April,27987.31
2020,Money Supply_Broad Money (M2)  ,April,71941.26
2020,Money Supply_Total Liquidity (M2+)  ,April,94556.02
2020,Money Supply_Reserve Money (RM)  ,April,26747.38
2020,Money Supply_ Narrow Money  (M1)  ,April,45485.05
2020,Total Liabilities of the Bankning System  ,April,94556.02
2020,Money Supply Component_Foreign currency deposits  ,April,22614.77
2020,Money Supply Component_Savings & Time deposits  ,April,26456.21
